program	x_size	y_size	pageLoadTime	fastaDownloadTime	renderTime	totalTime
biojsmsa	1024	1024	893	0	729	1628
biojsmsa	1024	1024	267	0	327	601
biojsmsa	128	128	695	0	541	1256
biojsmsa	128	128	352	0	110	467
biojsmsa	16384	16384	682	0	13490	14178
biojsmsa	16384	16384	545	0	13364	13922
biojsmsa	2048	2048	619	0	924	1549
biojsmsa	2048	2048	271	0	761	1038
biojsmsa	1024	1024	298	50	293	596
biojsmsa	1024	1024	248	17	257	511
biojsmsa	128	128	248	21	100	353
biojsmsa	128	128	249	21	84	339
biojsmsa	16384	16384	399	28	8467	8871
biojsmsa	16384	16384	241	20	8991	9238
biojsmsa	2048	2048	357	21	3441	3803
biojsmsa	2048	2048	710	96	1645	2361
biojsmsa	256	256	536	240	323	864
biojsmsa	256	256	287	54	148	441
biojsmsa	4096	4096	510	238	1654	2171
biojsmsa	4096	4096	290	40	1219	1516
biojsmsa	512	512	678	182	489	1172
biojsmsa	512	512	260	41	197	465
biojsmsa	8192	8192	648	408	3520	4175
biojsmsa	8192	8192	276	43	3268	3551
jalview	1024	1024	8556	0	10459	19081
jalview	1024	1024	15636	0	3880	20739
jalview	128	128	9035	0	7523	16626
jalview	128	128	9746	0	8111	17885
jalview	2048	2048	12135	0	51164	63352
jalview	2048	2048	13385	0	28205	41634
jalview	1024	1024	9584	4417	10341	19953
jalview	1024	1024	12296	4258	10477	22824
jalview	128	128	9767	448	6657	16456
jalview	128	128	9536	437	6286	15856
jalview	2048	2048	10870	6689	18851	29759
jalview	2048	2048	9947	6978	19041	29040
jalview	256	256	10562	3551	7962	18602
jalview	256	256	10667	2774	6441	17174
jalview	4096	4096	10389	17965	55768	66222
jalview	4096	4096	9806	7155	55081	64919
jalview	512	512	9550	3652	8334	17947
jalview	512	512	8594	3275	7594	16216
jbrowsemsa	1024	1024	764	0	2919	3813
jbrowsemsa	1024	1024	501	0	342	1005
jbrowsemsa	128	128	901	0	2458	3657
jbrowsemsa	128	128	748	0	356	1307
jbrowsemsa	2048	2048	749	0	2730	3727
jbrowsemsa	2048	2048	397	0	844	1334
jbrowsemsa	1024	1024	475	94	3090	3661
jbrowsemsa	1024	1024	428	47	240	774
jbrowsemsa	128	128	588	66	3086	3715
jbrowsemsa	128	128	401	64	153	595
jbrowsemsa	16384	16384	569	95	7173	7782
jbrowsemsa	16384	16384	489	93	7712	8245
jbrowsemsa	2048	2048	624	194	3176	3840
jbrowsemsa	2048	2048	473	82	1167	1685
jbrowsemsa	256	256	537	301	3140	3717
jbrowsemsa	256	256	494	112	286	837
jbrowsemsa	4096	4096	557	514	3092	3698
jbrowsemsa	4096	4096	518	71	951	1524
jbrowsemsa	512	512	604	296	3105	3752
jbrowsemsa	512	512	405	155	298	745
jbrowsemsa	8192	8192	930	492	3619	4595
jbrowsemsa	8192	8192	412	120	4140	4596
wasabi	1024	1024	4580	0	1492	6074
wasabi	1024	1024	3370	0	2413	5787
wasabi	128	128	3660	0	890	4556
wasabi	128	128	4036	0	642	4683
wasabi	16384	16384	3784	0	44192	47979
wasabi	16384	16384	8022	0	36658	44682
wasabi	2048	2048	3300	0	2853	6154
wasabi	2048	2048	3470	0	2284	5757
wasabi	1024	1024	22287	304	16	22312
wasabi	1024	1024	7601	376	1977	9580
wasabi	128	128	3028	422	310	3340
wasabi	128	128	3483	282	440	3925
wasabi	16384	16384	3706	479	32477	36185
wasabi	16384	16384	3651	636	34541	38194
wasabi	2048	2048	3673	625	2052	5727
wasabi	2048	2048	12338	361	3297	15636
wasabi	256	256	3454	498	645	4103
wasabi	256	256	3486	356	558	4046
wasabi	4096	4096	3225	381	5277	8504
wasabi	4096	4096	3174	689	4539	7718
wasabi	512	512	3807	325	1859	5667
wasabi	512	512	7501	395	1122	8624
wasabi	8192	8192	4009	545	11908	15919
wasabi	8192	8192	3151	362	8672	11827
